what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430894771356
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430894772877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1430894801860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430894804257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430895160840
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430895163482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1430895168506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430895170016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430895192467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430895193704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430895194818
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430895196078
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430895201112
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430895201302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430895212591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430895223508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430895227041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430896159298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430896169003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430896173800
started,bundle,org.eclipse.jdt.astview,1.1.8.201108081127,"org.eclipse.jdt.astview",1430896174011
opened,view,org.eclipse.jdt.astview,1.1.8.201108081127,"org.eclipse.jdt.astview.views.ASTView",1430896174561
activated,view,org.eclipse.jdt.astview,1.1.8.201108081127,"org.eclipse.jdt.astview.views.ASTView",1430896174658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1430896174660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1430896174660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430896208644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430896273698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430896276458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430896282113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430896283953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430898933534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430898933818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430898934880
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430898936038
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1430898937187
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1430898937195
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1430898937202
